id handicapped-infants water-project-cost-sharing adoption-of-the-budget-resolution physician-fee-freeze el-salvador-aid religious-groups-in-schools anti-satellite-test-ban aid-to-nicaraguan-contras mx-missile immigration synfuels-corporation-cutback education-spending superfund-right-to-sue crime duty-free-exports export-administration-act-south-africa class
67 0 1 0 1 1 1 1 0 0 0 1 1 1 1 0 1 republican
68 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 0 republican
69 1 0.5 1 0 0 0 1 1 1 0 0 0 1 0 1 1 democrat
70 1 1 1 0 0 0 1 1 1 0 0 0 0 0 1 1 democrat
71 1 0 1 0 0 0 1 1 1 0 0 0 1 0 1 0.5 democrat
72 1 1 1 1 0 0 1 1 1 1 1 0 0 1 0 1 republican
73 1 1 1 0 0 0 1 1 1 0 1 0 0 0 1 0.5 democrat
74 1 0 1 1 1 0 1 0 1 1 0 0 1 1 0 1 republican
75 1 0 1 0 0 1 1 1 1 1 1 0 0 1 1 1 democrat
76 0 1 1 1 1 1 0 0 0 1 1 0 1 1 0 0 democrat
77 0 1 1 0 1 1 0 0 0 1 1 1 1 1 0 0.5 democrat
78 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 democrat
79 1 1 1 0 1 1 0 0 0 1 1 0 1 1 0 1 democrat
80 0 0 0 1 1 0 0 0 0 1 0 1 1 1 0 0 republican
81 1 0 1 0 0 1 1 1 1 1 0 1 0 1 0 0.5 democrat
82 1 0 1 0 0 0 1 1 0.5 1 1 1 0 1 0 1 democrat
83 0 0 0 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
84 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
85 0 0.5 0 1 1 1 0 0 0 1 0 1 1 1 0 0 republican
86 0 0 1 0 1 1 0 0 0 1 1 1 1 1 0 1 democrat
87 0 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 republican
88 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
89 0 1 1 0 1 1 1 0 1 1 1 0 1 1 0 1 democrat
90 0 0 0 1 1 1 0 0 0 1 0 0.5 1 1 0 0.5 republican
91 1 0 1 0 0 0 1 1 1 1 0 0 0 0 1 1 democrat
92 1 0 1 0 0 0 1 1 1 1 1 0 0 0 1 1 democrat
93 1 1 1 0 0 0 1 1 0 1 1 0 0 0.5 1 1 democrat
94 1 0 1 0 0 0 1 0 1 1 1 0 0 0 1 1 democrat
95 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 democrat
96 1 0 1 0 1 1 0 0.5 0.5 0 1 0.5 0.5 0.5 1 1 democrat
97 0 0 0.5 0 1 1 0 0 0 0 1 1 1 1 0 1 democrat
98 1 0 0 0 1 1 1 0 0 1 1 0 0 1 0 1 democrat
99 1 1 1 0 0 1 1 1 1 1 0 0 0 0 0 1 democrat
100 0 0 0 1 1 1 0 0 0 1 0.5 1 1 1 0 0 republican
101 1 0 0 0 1 1 0 0 0 0 1 1 0 1 0 1 democrat
102 1 0 1 0 1 1 1 0 0 0 1 0 0 1 0 1 democrat
103 1 0 1 0 1 1 1 0 0.5 0 1 0 1 1 1 0.5 democrat
104 1 0 0 0 1 1 0.5 0 0.5 0 0 0 0 1 0.5 0 democrat
105 0.5 0.5 0.5 0.5 0 1 1 1 1 1 0.5 0 1 1 0 0.5 democrat
106 1 1 1 0 0 0 0 1 1 0 1 0 0 0 1 1 democrat
107 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 1 republican
108 0 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1 0.5 0.5 republican
109 1 0.5 1 0 0 0 1 1 1 0 0 0 0 0 1 0.5 democrat
110 1 0.5 1 0 0 0 1 1 1 0 0 0 0 0 1 0.5 democrat
111 0 0 1 0 0 0 1 1 1 1 0 0 0 0 1 1 democrat
112 0 0.5 0 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
113 0 0.5 1 0 0 1 1 1 0 1 0 0 0 0 1 0.5 democrat
114 0 0.5 0 1 1 1 0 0 0 1 0 1 1 1 0 0 republican
115 1 0.5 1 0 0 0 1 1 1 0 0 0 0 0 1 0.5 democrat
116 0 0.5 1 0 0.5 0.5 1 1 1 1 0.5 0.5 0 0 1 1 democrat
117 1 0 1 0 0 0 1 1 1 0 1 0 0 0 1 1 democrat
118 1 1 1 1 1 0 1 0 0 0 0 1 1 1 0 1 republican
119 0 1 1 0 0 0 0 1 1 1 1 0 0 0 1 1 democrat
120 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
121 0 0.5 0.5 1 1 1 0 0 0 1 0 1 1 1 0.5 1 republican
122 0 0.5 0 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
123 0 0 0 1 1 1 0 0 0 1 0 1 0 1 0 1 republican
124 1 0.5 0 1 1 1 0 1 0 0 0 1 1 1 0 1 republican
125 0 0.5 1 0 0 0 1 1 1 0 0 0 0 0 1 1 democrat
126 0 0.5 0 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
127 0 0.5 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
128 0 0.5 1 0 0 0 1 1 1 1 1 0 0 1 1 1 democrat
129 0 0.5 1 0 0 1 0 1 0 1 1 0 0 0 1 1 democrat
130 0.5 0.5 1 0 0 0 1 1 0.5 0 0.5 0.5 0.5 0.5 0.5 0.5 democrat
131 1 0.5 1 0 0.5 0.5 1 1 1 0 0 0 0 0 1 0.5 democrat
132 0 0 1 0 0 1 0 1 1 1 0 0 0 1 0 1 democrat
133 0 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0.5 republican
134 0 0 0 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
135 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0.5 republican
136 0 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 republican
137 0 1 0 1 1 1 0 0 0 1 1 1 1 0 0 1 republican
138 0 0.5 1 0 0 1 1 1 1 1 0 0 0 1 1 1 democrat
139 0 0 1 0 0 1 1 1 1 1 0 0 0 1 0 1 democrat
140 1 0 1 0 0 1 1 1 1 0 0 0 0 0 1 1 democrat
141 0 0 0 1 0 0 1 1 1 1 0 0 1 1 0 1 republican
142 0 0 0 1 1 1 1 1 1 1 0 1 1 1 0.5 1 republican
143 0 0 0 1 1 1 1 1 1 1 0 1 1 1 0 1 republican
144 0.5 1 0 0 0 0 1 1 1 1 1 0 0 1 1 1 democrat
145 0 0.5 0 0 0 1 1 1 1 1 0 0 0 1 0 0.5 democrat
146 0 0 1 0 0 1 1 1 1 1 0 0 0 1 0.5 1 democrat
147 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 1 republican
148 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 1 democrat
149 0 1 0 1 1 1 0 0 0 1 1 1 1 1 0 1 republican
150 0 0 1 0 0 0 1 1 1 1 0 0 1 0 1 1 democrat
151 1 1 0 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
152 1 1 0.5 1 1 1 0 0 1 0 1 0.5 1 1 0 0 democrat
153 0 1 1 0 0 1 0 1 1 1 1 0 1 0 1 1 democrat
154 0 0 1 0 0 1 1 1 1 1 1 0 1 1 0 1 democrat
155 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
156 1 1 0 1 1 1 0 0.5 0 0 1 1 1 1 0 0 republican
157 1 1 0 1 1 1 1 0 0 0 0 1 1 1 0 0 republican
158 0 1 1 0 0 1 0 1 1 0 1 0 0.5 0.5 0.5 0.5 democrat
159 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 0 republican
160 0 1 1 0 0.5 1 1 1 1 1 1 0 0 0.5 0 0.5 democrat
161 0 1 0 0 1 1 0 0 0 0 0 1 1 1 1 1 democrat
162 0 0 0 0 1 1 1 0 0 0 0 1 1 1 0 1 democrat
163 0 1 1 0 1 1 1 0 0 0 1 1 1 1 0 1 democrat
164 0 1 0 1 1 1 1 0 0 0 0 1 1 1 0 1 republican
165 1 1 0 0 1 1 0 0 0 1 1 1 1 1 0 0.5 democrat
166 0 1 1 0 0 1 1 1 1 1 1 0 1 0 1 0.5 democrat
167 1 0 1 1 1 1 1 1 0 1 0 1 0 1 1 1 republican
168 1 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 republican
169 0 0 1 1 1 1 0 0 1 0 0 0 1 1 1 0.5 democrat
170 1 0 1 0 0 0 1 1 1 1 1 0 0 1 0 1 democrat
171 1 0 1 0 0 0 0.5 1 1 0.5 0 0 0 0 1 0.5 democrat
172 0 0.5 0 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
173 0 1 1 0 0 0 1 1 1 1 0 0 0.5 0 1 1 democrat
174 0 0 0 0 1 1 0 0 0 1 1 1 1 1 0 1 democrat
175 1 0.5 1 0 0 0 1 1 1 0 0 0 0 0 1 0.5 democrat
176 0 1 1 0 0 0 1 1 1 1 0 0 0 0 1 1 democrat
177 0 0 1 1 0 0 1 1 1 1 0 0 0 1 1 1 republican
178 0 0 1 0 0 0 1 1 1 1 1 0.5 0 0 1 1 democrat
179 0.5 0 1 0 0 0 1 1 1 1 1 0.5 0 0 1 0.5 democrat
180 1 0 1 0 0 0 1 1 1 1 0 0 0 0 1 1 democrat
181 0.5 0.5 1 0 0 0 1 1 1 0.5 0.5 0 0 0 0.5 0.5 democrat
182 0 0 1 0 0 0 1 1 1 1 1 0 0 0 1 1 democrat
183 1 0.5 1 0 0 0 1 1 1 0 0 0 0 0 1 1 democrat
184 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1 0.5 0.5 0.5 0.5 0.5 0.5 0.5 democrat
185 0 0 1 0 0 0 1 1 1 1 1 0 0 0 1 1 democrat
186 1 0 1 0 0 0 1 1 1 1 0 0.5 0 0 1 1 democrat
187 0 1 1 0 0 0 1 1 1 1 1 0 0 0 1 1 democrat
188 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0.5 democrat
189 1 0.5 0 1 1 1 1 1 0 0 0 1 0.5 1 0.5 0.5 republican
190 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 democrat
191 0 0.5 0 1 1 1 0 0 0 0 0 1 1 1 0 0.5 republican
192 0 1 0 1 1 1 0 0.5 0 1 0 1 1 1 0 0.5 republican
193 0 0 0 0 0 1 1 1 1 0 1 0 0 1 1 1 democrat
194 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 democrat
195 0 0 1 0 0 1 1 0.5 1 1 1 0 0 0 1 1 democrat
196 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0.5 republican
197 0 0 1 0 0 1 1 1 1 0 1 1 0 1 1 0.5 democrat
198 0 0.5 1 1 1 1 0 0 0 1 0 0 0 1 0 1 republican
199 0 0 1 0 0 0 1 1 1 1 1 0 0.5 0 1 0.5 democrat
200 1 1 0 0 0 0 1 1 0.5 0 1 0 0 0 1 0.5 democrat
201 0 0 1 0 0 0 1 1 1 0 0 0 0 1 1 1 democrat
202 1 1 1 0 0 0 1 1 1 0 0 0 0 0 1 1 democrat
203 1 0 1 0 0 1 1 1 1 1 1 0 0 0 1 1 democrat
204 1 0 1 0 0 0 1 1 1 1 0 0 0 0 1 1 democrat
205 0 0 1 1 1 1 1 0 0 0 0 1 1 1 0 1 republican
206 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 democrat
207 0 0 0 1 1 1 0 0 0 1 0 1 0 1 0 1 republican
208 1 0.5 0 1 1 1 1 0 0 1 0 1 1 1 0 1 republican
209 0 0 1 0 0 0 1 1 1 0 0 0.5 0 0 1 1 democrat
210 1 1 1 0 0 0 1 1 1 1 1 0 0 0 0 1 democrat
211 0 0 1 0 0 1 1 1 1 0 0 0 0 0 1 1 democrat
212 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
213 0 0 1 0 0 0 1 1 1 0 1 0 0 0 1 1 democrat
214 0 1 1 0 0 1 0 1 1 0 1 0 1 0 1 1 democrat
215 1 1 0 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
216 0 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0.5 democrat
217 1 1 1 0 1 1 0 0 0.5 1 0 0 0 1 1 0.5 democrat
218 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 0 republican
219 1 0.5 1 0 0 0 1 1 1 0 0.5 0 0 0 1 0.5 democrat
220 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 1 democrat
221 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0.5 democrat
222 0 1 1 0 1 1 0 0 0 0 1 0 0 0 1 0.5 democrat
223 1 0 1 0 0 0 1 1 1 0 1 0 0 0 1 0.5 democrat
224 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 1 republican
225 0 1 0 1 1 1 0 0 0 1 0 0.5 1 1 0 0 republican
226 0 0.5 0 1 1 1 0 0 0 0 0 1 1 1 0 1 republican
227 0 0 1 0 0 1 1 1 1 0 1 0 0 1 1 1 democrat
228 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0.5 1 democrat
229 0 1 0 1 1 1 0 0 0 0 0 1 1 0.5 0 1 republican
230 0 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 republican
231 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 1 republican
232 0 1 0 1 1 1 0 0 1 1 0 1 1 1 0 1 republican
233 0 1 1 0 0 0 1 1 0 0 1 0 0 0 1 0.5 democrat
234 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
235 0 0 1 0 0 1 1 1 1 1 0 1 0 1 1 0.5 democrat
236 0 0 0 1 1 1 0 0 0 1 0 1 0 1 0 1 republican
237 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 democrat
238 1 0 1 0 0 1 1 1 0 0 0 1 1 0 0 1 democrat
239 1 1 1 0 0 0 1 1 0.5 1 0 0 0 0 1 0.5 democrat
240 0 0 0 1 1 1 1 0 0 1 0 0 0 1 1 1 republican
241 0 0 0 1 0 1 1 0.5 1 0 0 1 1 1 0 1 republican
242 1 0 1 0 0 0 1 1 1 1 1 0 0 1 1 1 democrat
243 0 0 0 0 1 1 1 0 0 0 0 0.5 0 1 1 1 republican
244 0 1 1 0 0 0 1 1 0.5 1 0 0 1 0 1 1 democrat
245 1 0 1 0 0 0 0 1 1 1 0 0 0 0 1 1 democrat
246 1 0 1 0 0 0 1 1 1 1 1 0 0 0 1 1 democrat
247 0 0 1 0 1 0 1 1 1 0 0 0 0 1 0.5 1 democrat
248 0 1 0 1 1 1 0.5 0 0 0 0 0.5 1 1 0 0 republican
249 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 republican
250 1 0 1 0 0 0 1 1 0.5 0 1 0 0 0 1 1 democrat
251 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
252 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
253 1 1 1 0 0 1 1 1 1 0 0 0 0 0 1 1 democrat
254 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 1 republican
255 1 0 1 0 0 0 1 1 1 1 0 0 0 0 0 1 democrat
256 1 0 1 0 0 0 1 1 1 1 0 0 0 1 1 1 democrat
257 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 republican
258 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0.5 1 republican
259 0 0 1 0 0 0 1 1 1 0 1 0 0 0 1 1 democrat
260 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 democrat
261 1 0 1 0 0 0 1 1 1 1 0 0 0 0 0 1 democrat
262 1 0 1 0 0 0.5 1 1 1 0 0.5 0.5 0 0.5 0.5 0.5 democrat
263 1 0 1 0 0 0 1 1 1 1 0 0 0.5 0 1 1 democrat
264 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0.5 democrat
265 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0.5 democrat
266 1 0 1 0 0 0 1 1 1 1 0 0 0 0 0 1 democrat
267 0 0 0 1 1 1 0 0 0 1 0 1 0 1 0 1 republican
268 1 0 0 0 0 0 1 1 1 1 0 0 0 1 0 1 republican
269 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0.5 democrat
270 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 democrat
271 1 1 1 0 0 0 1 1 1 0 0 0 0 0 1 1 democrat
272 0 1 1 0 0 1 1 1 1 0 0.5 0 0 0 0 1 democrat
273 1 0 1 0 0 0 1 1 1 1 0 0 0 0 1 0.5 democrat
274 0 0 0 1 1 0 1 1 0 1 0 1 1 1 0.5 1 republican
275 1 0 0 1 1 0 1 0 0 1 0 0 0 1 1 1 republican
276 0 0 1 0 1 1 0 0 0 0 0.5 0 1 1 0 0 democrat
277 0 0 0 1 1 1 0 0 0 0 0 1 1 1 1 0 republican
278 0 0 1 1 1 1 1 1 0 1 0 0 0 1 0 1 republican
279 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 1 republican
280 0 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 republican
281 0 0 1 0 0 0 1 1 1 1 0 0 0 1 0 1 democrat
282 1 0 1 1 1 1 1 1 0 0 0 0 0 1 0 0.5 republican
283 1 0 0 1 1 1 0 0 0 1 0 0.5 1 1 0 0 republican
284 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 1 republican
285 0 0 1 0 0 1 1 1 1 1 1 0 0 0 0.5 1 democrat
286 0 0 1 0 0 1 1 1 1 1 1 0 0 0 1 1 democrat
287 0 0 1 0 0 1 0.5 1 0.5 1 1 1 0 1 1 0.5 democrat
288 1 1 1 0.5 0 1 1 1 1 0 1 0 1 0 0.5 1 democrat
289 1 1 1 0 1 1 0 1 0 1 1 0 1 1 1 1 democrat
290 1 1 1 0 1 1 0 1 0 1 1 0 1 1 0 0.5 democrat
291 1 0 1 0 0.5 1 0.5 1 1 1 0 0 1 1 0 1 democrat
292 1 0 1 0 0 1 1 1 1 1 0 0.5 0 1 0 1 democrat
293 1 0 1 0 0 1 1 1 0 1 1 0 1 1 1 1 democrat
294 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 democrat
295 0 1 1 0 0 1 1 1 0 1 1 0 1 1 0 0.5 democrat
296 0 1 0 1 1 1 0.5 0.5 0 1 0 1 0.5 0.5 0.5 0.5 republican
297 0 0 1 1 1 1 0 0 0 1 0 1 1 1 1 1 republican
298 1 1 1 0 0 1 1 1 1 1 0 0 0.5 0 1 0.5 democrat
299 0 1 0 0 0 0 1 1 1 1 1 0 0 0 1 1 democrat
300 0 1 1 0 0 1 1 1 1 1 0 0 1 1 1 1 democrat
301 0 0 0 1 1 0 1 1 1 1 0 1 1 1 0 1 republican
302 0 0 0.5 0 0 1 1 1 1 0 0 0 0 0 1 1 democrat
303 0 0 0 1 1 1 1 0 0 1 0 1 1 1 0 1 republican
304 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
305 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 0.5 republican
306 0 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 republican
307 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
308 1 0 1 0 0 1 1 1 1 0 0 0 0 1 0 0.5 democrat
309 0 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 republican
310 1 0 0 0 0 1 1 1 1 1 0 0 0 1 1 1 democrat
311 0 0 0 1 1 1 0 0 0 1 0 1 1 1 1 0 republican
312 0 0 1 0 0 1 1 1 1 1 0 0 1 0 0 1 democrat
313 1 1 1 0 0 0 1 1 1 1 0 0 0 0 1 1 democrat
314 0 1 1 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
315 0 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 republican
316 0 1 1 1 1 1 1 0.5 0 0 0 0 0.5 0.5 1 0.5 republican
317 0 0 0 0 0 1 0 1 1 0 1 1 1 1 1 0 democrat
318 1 0 0 0 0 0 1 1 1 1 0 0 0 0 1 1 democrat
319 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0.5 democrat
320 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0.5 democrat
321 0 1 1 0 0 1 0 1 1 1 0 0 1 1 0 1 democrat
322 1 1 1 0 0 0 1 1 1 1 0 0 1 0 0 1 democrat
323 1 1 1 0 0.5 1 0 0.5 0 0 1 0 1 1 0 0.5 democrat
324 1 1 1 0 1 1 0 1 0.5 1 0 0 1 1 0 0.5 democrat
325 0 1 0 1 1 1 0 0 0 0 1 1 1 1 0 0 republican
326 0 1 0 0 1 1 0 0 0.5 0 0 1 1 1 0 1 democrat
327 1 1 0 1 0 0 1 1 1 0 1 0 0 1 0 1 democrat
328 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 1 republican
329 1 1 1 0 0 0 1 1 1 0 1 0 0 0 0 1 democrat
330 1 0.5 1 0 0 1 1 1 1 1 0 0 0 0 1 0.5 democrat
331 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 0 republican
332 1 0.5 1 0 0 0 1 1 1 0 0 0 0 0 1 0.5 democrat
333 1 0 1 0 0 0 1 1 1 0 1 0 0 0 1 0.5 democrat
334 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 democrat
335 0 1 1 0 0 1 1 1 0.5 0 1 1 0 0 1 1 democrat
336 0 0 0 1 1 1 0 0 0 1 1 1 1 1 0 0.5 republican
337 0 0 1 0 0 1 1 1 0 0 1 0 0 1 0.5 1 democrat
338 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 democrat
339 1 0 1 0 0 0 1 1 1 1 0 0 0 1 1 1 democrat
340 1 0 0 1 1 1 0 0 0 0 1 1 1 1 0 0 republican
341 0 0 0 1 1 1 0 0 0 1 1 1 0 1 0 1 republican
342 0 0.5 1 0.5 0 1 1 1 1 1 1 0 0.5 0.5 1 1 democrat
343 0 1 1 0 1 0.5 1 0 0 1 1 0 1 0 1 1 democrat
344 0 0 0 1 1 0 1 0 1 1 0 0 0 1 0 1 republican
345 0 0 1 0 0 0 1 1 1 1 1 0 0 0 1 1 democrat
346 0 0 0 1 1 1 1 0 0 1 0 1 0 1 1 1 republican
347 0 0 0 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
348 1 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 republican
